U,n,k,n,o,w,n
"Laptop Dell XPS 13 9310 i5 1135G7/8GB/256GB/13.4""FHDTouch/Win 10 (No.00770616)",41.999.000₫,,"13.4"", 1920 x 1080 Pixel, WVA, 60 Hz, 400 nits, LED-backlit
Intel Core i5-1135G7
8 GB, LPDDR4, 4266 MHz
SSD 256 GB
Intel Iris Xe Graphics","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","1 đánh giá
|
0 Hỏi & đáp"
"Laptop Dell Vostro V3500 i3 1115G4/8GB/256GB/15.6""FHD/Win 10 (No.00741403)",15.599.000₫,,"15.6"", 1920 x 1080 Pixel, WVA, 60 Hz, 250 nits, Anti-glare LED-backlit
Intel Core i3-1115G4
8 GB, DDR4, 2666 MHz
SSD 256 GB
Intel UHD Graphics","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","2 đánh giá
|
536 Hỏi & đáp"
Laptop ASUS Vivobook X515EA BQ1006T i3 1115G4/4GB/512GB SSD/Win10 (No.00770614),13.499.000₫,,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits, Anti-glare LED-backlit
Intel Core i3-1115G4
4 GB, DDR4, 3200 MHz
SSD 512 GB
Intel UHD Graphics","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","1 đánh giá
|
0 Hỏi & đáp"
Laptop Acer Aspire 3 A315-57G-524Z i5 1035G1/8GB/512GB SSD/MX330-2G/Win10 (No.00732389),16.999.000₫,,"15.6"", 1920 x 1080 Pixel, TN, 60 Hz, Acer ComfyView LED-backlit
Intel Core i5-1035G1
8 GB, DDR4, 2400 MHz
SSD 512 GB
GeForce MX330 2GB","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","đánh giá
|
0 Hỏi & đáp"
Laptop ASUS Vivobook A415EA EB360T i5 1135G7/8GB/512GB SSD/Win10 (No.00770615),18.799.000₫,,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits, Anti-glare LED-backlit
Intel Core i5-1135G7
8 GB, DDR4, 3200 MHz
SSD 512 GB
Intel Iris Xe Graphics","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","1 đánh giá
|
179 Hỏi & đáp"
Laptop Dell Gaming G15 5515 R7 5800H/8GB/512GB/ RTX3050 4GB/15.6FHD/Win 10+Office Home&Student (No.00772988),30.999.000₫,,"15.6"", 1920 x 1080 Pixel, WVA, 120 Hz, 250 nits, WVA Anti-glare LED Backlit Narrow Border
AMD Ryzen 7-5800H
8 GB, DDR4, 3200 MHz
SSD 512 GB
NVIDIA GeForce GTX 3050 4GB","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","1 đánh giá
|
1 Hỏi & đáp"
"Laptop Dell Inspiron N3505 R3 3250U/8GB/256GB/15.6""FHD/Win 10 (No.00741322)",13.999.000₫,,"15.6"", 1920 x 1080 Pixel, TFT, BrightView WLED-backlit
AMD Ryzen 3-3250U
8 GB, DDR4, 3200 MHz
SSD 256 GB
AMD Radeon RX Vega 3","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09
Microsoft Office tặng PMH 300.000đ khi mua kèm Laptop Chip AMD","3 đánh giá
|
385 Hỏi & đáp"
Laptop Asus Zenbook UX425EA KI429T i5 1135G7/8GB/512GB SSD/Win 10 (No.00758225),23.999.000₫,,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, 400 nits, Anti-glare LED-backlit
Intel Core i5-1135G7
8 GB, LPDDR4X, 3200 MHz
SSD 512 GB
Intel Iris Xe Graphics","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","7 đánh giá
|
697 Hỏi & đáp"
"Laptop Dell Inspiron N3501 i3 1125G4/4GB/256GB/15.6""FHD/Win 10 (No.00770872)",15.199.000₫,,"15.6"", 1920 x 1080 Pixel, WVA, 60 Hz, 220 nits, WVA Anti-glare LED Backlit Narrow Border
Intel Core i3-1125G4
4 GB, DDR4, 2666 MHz
SSD 256 GB
Intel UHD Graphics","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","1 đánh giá
|
472 Hỏi & đáp"
